objectID,title,period,dynasty,reign,objectDate,objectBeginDate,objectEndDate,medium,dimensions,classification,country,region,city,tags
551687,Architectural Ornament: Bunch of Grapes,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Faience,"H. 3.7 cm (1 7/16 in), w. 3.7 cm (1 7/16 in)",,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Grapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379338', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10978'}]"
551372,Amulet with the Throne Name of Amenhotep III,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Faience,H. 1.9 cm (3/4 in),,Egypt,"Upper Egypt, Thebes",,
551608,Square Wall Tile,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Faience,,,Egypt,"Upper Egypt, Thebes",,
551394,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
544511,Bracelet Fragment with the Throne Name of Amenhotep III,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Faience,"L. 6.2 cm (2 7/16 in), w. 4 cm (1 9/16 in)",,Egypt,"Upper Egypt, Thebes",,
544694,Writing Palette and Brushes of Princess Meketaten,"New Kingdom, Amarna Period",Dynasty 18,reign of Akhenaten,ca. 1353–1336 B.C.,-1353,-1353,"Ivory, rush, red, yellow, and black pigments",L. 13.3 cm (5 1/4 in); w. 2.3 cm (7/8 in); th. 0.5 cm (3/16 in),,,Upper Egypt; Thebes,,"[{'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}, {'term': 'Writing Implements', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404590', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q121916'}]"
553619,Mummy braces bearing the name of Painedjem,Third Intermediate Period,Dynasty 21,reign of Painedjem I,ca. 1070–889 B.C.,-1070,-1070,"Leather, dye",A: L.  50 cm (19 11/16 in.); B: L. 24.5 cm (9 5/8 in.),,Egypt,"Upper Egypt, Thebes",,
558364,"Pair Statue of Nebwaw and His Wife, Tenethet",New Kingdom,late Dynasty 18,reign of Amenhotep III or later,ca. 1390–1295 B.C.,-1390,-1295,"Sandstone, paint",H. 71.5 cm (28 1/8 in),,Egypt,,,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]"
546708,Round-topped Stela of Wenenkhu,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1275–1237 B.C.,-1275,-1275,Limestone,H. 45 × W. 31 × D. 8 cm (17 11/16 × 12 3/16 × 3 1/8 in.),,,"Upper Egypt, Thebes",,
554522,Stela of Amenhotep II Offering to Amun,New Kingdom,Dynasty 18,reign of Amenhotep II,ca. 1427–1400 B.C.,-1427,-1400,"Limestone, pigment",H. 48.3 × W. 30.5 ×D. 6 cm (19 × 12 × 2 3/8 in.),,,"Upper Egypt, Thebes",,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Amun', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000100', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q58373'}]"
548633,Mirror with a Handle in the Shape of a Young Woman Holding a Papyrus Umbel,New Kingdom,Dynasty 18,reign of Thutmose IV,ca. 1400–1390 B.C.,-1400,-1400,Bronze,"L. 29.7 × W. 15.6 × D. 3.1 cm, 1.2 kg (11 11/16 × 6 1/8 × 1 1/4 in., 2.6 lb.)",,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]"
549221,Tile Inlay depicting a Wig,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 6.4 × W. 87 × D. 2 cm (2 1/2 × 34 1/4 × 13/16 in.),,Egypt,Eastern Delta,,
551217,"Tile fragment, part of a wig from a figure of the king","New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 10.5 × W. 15.4 × D. 3.5 cm (4 1/8 × 6 1/16 × 1 3/8 in.),,Egypt,Eastern Delta,,
549986,Wig fragment,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 4 × W. 5.8 × D. 1.5 cm (1 9/16 × 2 5/16 × 9/16 in.),,Egypt,Eastern Delta,,
567944,"Tile fragment, part of a wig from a figure of the king","New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 10.3 × W. 10.1 × D. 3 cm (4 1/16 × 4 × 1 3/16 in.),,Egypt,Eastern Delta,,
